"Student_ID","First_Name","Last_Name","Email","Gender","Age","Department","Attendance","Midterm_Score","Final_Score","Assignments_Avg","Quizzes_Avg","Participation_Score","Projects_Score","Total_Score","Grade","Study_Hours_per_Week","Extracurricular_Activities","Internet_Access_at_Home","Parent_Education_Level","Family_Income_Level","Stress_Level","Sleep_Hours_per_Night","Pass_Fail"
"S1000","Omar","Williams","student0@university.com","Female",22,"Engineering",52.29,55.03,57.82,84.22,74.06,3.99,85.9,56.09,"F",6.2,"No","Yes","High School","Medium",5,4.7,"Fail"
"S1002","Ahmed","Jones","student2@university.com","Male",24,"Business",57.19,67.05,93.68,67.7,85.7,5.05,73.79,70.3,"D",20.7,"No","Yes","Master's","Low",6,6.2,"Fail"
"S1003","Omar","Williams","student3@university.com","Female",24,"Mathematics",95.15,47.79,80.63,66.06,93.51,6.54,92.12,61.63,"A",24.8,"Yes","Yes","High School","High",3,6.7,"Pass"
"S1004","John","Smith","student4@university.com","Female",23,"CS",54.18,46.59,78.89,96.85,83.7,5.97,68.42,66.13,"F",15.4,"Yes","Yes","High School","High",2,7.1,"Fail"
"S1007","Ahmed","Smith","student7@university.com","Male",19,"Engineering",51.91,45.67,73.96,80.12,95.9,3.73,93.24,81.93,"F",27.3,"Yes","No","None","Medium",4,4.3,"Fail"
"S1008","Omar","Smith","student8@university.com","Female",21,"CS",85.97,84.42,90.87,57.05,56.33,0.51,94.01,95.62,"A",8,"No","No","Bachelor's","Low",9,8.8,"Pass"
"S1009","Sara","Smith","student9@university.com","Female",22,"Engineering",64.01,87.96,98.47,96.98,55.63,5.88,78.6,84.99,"A",9.6,"No","Yes","None","Medium",10,6.4,"Pass"
"S1010","John","Smith","student10@university.com","Female",23,"CS",85.72,83.52,97.43,67.29,76.95,4.59,97.62,58.25,"A",13.2,"No","Yes","High School","Low",1,4.1,"Pass"
"S1011","Omar","Williams","student11@university.com","Female",20,"Engineering",77.75,52.14,91.37,52.24,87.85,7.61,90.95,87.58,"C",21.3,"No","Yes","Master's","Low",9,7,"Pass"
"S1012","John","Davis","student12@university.com","Male",21,"Engineering",55.44,81.39,40.66,65.02,69.11,2.06,70.78,59.06,"F",18.1,"No","Yes","Master's","High",8,4.5,"Fail"
"S1013","John","Williams","student13@university.com","Male",18,"Business",96.61,40.64,93.14,66.78,56.82,4.37,81.48,77.93,"A",22.8,"No","Yes","None","Medium",10,7.9,"Pass"
"S1014","Liam","Williams","student14@university.com","Male",19,"Engineering",72.62,58.31,44.5,54.64,75.53,1.81,56.09,53.85,"B",5.8,"No","Yes","None","Low",4,8.8,"Pass"
"S1015","Ahmed","Jones","student15@university.com","Male",18,"CS",86.72,63.93,91.07,81,66.88,6.14,77.57,52.37,"A",25.3,"No","Yes","None","High",2,8.6,"Pass"
